iter	Accuracy	Logloss
322	0.9371492705	0.2111498649
323	0.9371492705	0.2109386153
324	0.936026936	0.2105937299
325	0.936026936	0.210480926
326	0.9382716049	0.2100332117
327	0.9382716049	0.2085969594
328	0.9382716049	0.2085451679
329	0.9382716049	0.2081248142
330	0.9393939394	0.2078857513
331	0.9393939394	0.2076043711
332	0.9393939394	0.2072167589
333	0.9393939394	0.206217475
334	0.9405162738	0.2059855674
335	0.9393939394	0.2055382163
336	0.9405162738	0.2048638227
337	0.9405162738	0.2046410909
338	0.9405162738	0.2045788993
339	0.9405162738	0.2045217609
340	0.9405162738	0.2036029106
341	0.9405162738	0.2035229722
342	0.9405162738	0.2027270257
343	0.9405162738	0.2019243094
344	0.9393939394	0.2012439888
345	0.9405162738	0.2007632959
346	0.9416386083	0.2003567682
347	0.9416386083	0.2000937503
348	0.9416386083	0.1996378805
349	0.9416386083	0.1992034979
350	0.9416386083	0.199035214
351	0.9416386083	0.1986913645
352	0.9427609428	0.1982004739
353	0.9427609428	0.1974107504
354	0.9427609428	0.1969477974
355	0.9427609428	0.196563168
356	0.9427609428	0.1962502962
357	0.9427609428	0.1957164188
358	0.9427609428	0.1955526783
359	0.9438832772	0.1950970833
360	0.9450056117	0.1946547413
361	0.9438832772	0.1937141353
362	0.9438832772	0.1934632024
363	0.9450056117	0.1932256711
364	0.9450056117	0.1929680951
365	0.9461279461	0.1927640421
366	0.9461279461	0.1926518158
367	0.9461279461	0.1923480154
368	0.9472502806	0.1921083104
369	0.9472502806	0.1919225912
370	0.9472502806	0.191630381
371	0.9472502806	0.1913267588
372	0.948372615	0.1911962093
373	0.9494949495	0.1907842473
374	0.9494949495	0.1906378167
375	0.9494949495	0.1903228177
376	0.9494949495	0.190045723
377	0.9494949495	0.1897475145
378	0.9494949495	0.189652095
379	0.9494949495	0.1893142311
380	0.9494949495	0.1889816187
381	0.948372615	0.1889153181
382	0.948372615	0.1887981122
383	0.948372615	0.1886633157
384	0.9494949495	0.1883347148
385	0.950617284	0.1882367995
386	0.950617284	0.1880575124
387	0.950617284	0.1878083309
388	0.9517396184	0.1875219049
389	0.9517396184	0.1873437021
390	0.950617284	0.1869233237
391	0.950617284	0.1865826828
392	0.950617284	0.1861942057
393	0.950617284	0.185793909
394	0.9517396184	0.1852980107
395	0.9517396184	0.1850425355
396	0.9517396184	0.184631228
397	0.9517396184	0.1842235134
398	0.9517396184	0.1837827666
399	0.9517396184	0.1836381632
400	0.9517396184	0.1835147497
401	0.9517396184	0.1831401228
402	0.9517396184	0.1829923512
403	0.9517396184	0.1824927247
404	0.9528619529	0.1821794558
405	0.9528619529	0.1818742041
406	0.9528619529	0.1815664632
407	0.9528619529	0.1811862452
408	0.9528619529	0.1808717643
409	0.9528619529	0.1807063097
410	0.9528619529	0.1803112321
411	0.9528619529	0.1800878483
412	0.9528619529	0.1795806868
413	0.9528619529	0.1791365863
414	0.9539842873	0.1788480554
415	0.9539842873	0.1786724807
416	0.9551066218	0.1783857727
417	0.9551066218	0.1779525607
418	0.9551066218	0.1775806696
419	0.9551066218	0.177492785
420	0.9551066218	0.1772261366
421	0.9551066218	0.1768148278
422	0.9551066218	0.1765957625
423	0.9551066218	0.1762350983
424	0.9551066218	0.1759173079
425	0.9551066218	0.1757467035
426	0.9551066218	0.1755029712
427	0.9551066218	0.1750505821
428	0.9551066218	0.1746290109
429	0.9551066218	0.1742447121
430	0.9551066218	0.1740534531
431	0.9551066218	0.1738998525
432	0.9551066218	0.1738143852
433	0.9562289562	0.1737181322
434	0.9562289562	0.173406603
435	0.9562289562	0.1732156802
436	0.9551066218	0.1730592728
437	0.9562289562	0.1727409033
438	0.9562289562	0.172432955
439	0.9562289562	0.1723080984
440	0.9562289562	0.1719953702
441	0.9562289562	0.1719212818
442	0.9562289562	0.1717402982
